Condition,Genotype,Age,Frequ_Est,Frequ_Low,Frequ_Hig,Bayes_Est,Bayes_Low,Bayes_Hig,Trial
Low,e33,45-49,4.001704381,3.573523007,4.481190668,4.011221145,3.625347786,4.441623932,Lo_e33_45-49
Low,e33,50-54,4.289270581,3.983592655,4.618404468,4.300771039,4.026190751,4.599103715,Lo_e33_50-54
Low,e33,55-59,4.597501555,4.308415414,4.905984804,4.611222085,4.348928737,4.888383875,Lo_e33_55-59
Low,e33,60-65,4.927882294,4.480417748,5.420035646,4.944083032,4.539015923,5.384660183,Lo_e33_60-65
Low,e34,45-49,3.557820259,3.196805129,3.95960482,3.573684335,3.251140507,3.932943386,Lo_e34_45-49
Low,e34,50-54,4.050744725,3.784755011,4.335427994,4.067183981,3.828458849,4.324261284,Lo_e34_50-54
Low,e34,55-59,4.611962278,4.384093703,4.851674597,4.628832316,4.420968475,4.844010355,Lo_e34_55-59
Low,e34,60-65,5.250934703,4.881860038,5.647911871,5.268040174,4.934725621,5.621736149,Lo_e34_60-65
Low,e44,45-49,3.163173436,2.522539725,3.966504904,3.183873256,2.605475659,3.893440955,Lo_e44_45-49
Low,e44,50-54,3.825483265,3.315665942,4.413690181,3.846283698,3.387868601,4.367526048,Lo_e44_50-54
Low,e44,55-59,4.626468484,4.189327659,5.109223336,4.646509799,4.248537225,5.073039582,Lo_e44_55-59
Low,e44,60-65,5.595165147,4.867683087,6.431370421,5.613224352,4.960553917,6.353264636,Lo_e44_60-65
High,e33,45-49,5.169408806,4.620080445,5.784052403,5.181435413,4.688521282,5.732597678,Hi_e33_45-49
High,e33,50-54,5.673465579,5.271945546,6.105566037,5.688203548,5.330082982,6.078262653,Hi_e33_50-54
High,e33,55-59,6.226671731,5.837823784,6.641420208,6.244535929,5.893020387,6.617786152,Hi_e33_55-59
High,e33,60-65,6.833819701,6.217501579,7.511231177,6.855280168,6.297503215,7.457593029,Hi_e33_60-65
High,e34,45-49,4.723706051,4.247630422,5.253140373,4.744488311,4.320979962,5.214583795,Hi_e34_45-49
High,e34,50-54,5.452627437,5.097049284,5.83301128,5.474546106,5.155859821,5.815997058,Hi_e34_50-54
High,e34,55-59,6.294029655,5.985138557,6.618862524,6.316941491,6.036416299,6.608076498,Hi_e34_55-59
High,e34,60-65,7.265269772,6.757960684,7.810661727,7.288960404,6.830565575,7.774042931,Hi_e34_60-65
High,e44,45-49,4.316431472,3.447748583,5.403984717,4.344388676,3.560171856,5.310833074,Hi_e44_45-49
High,e44,50-54,5.240385361,4.546622475,6.040008575,5.268913957,4.644139553,5.979030779,Hi_e44_50-54
High,e44,55-59,6.362116233,5.764829046,7.021287646,6.390186596,5.847482041,6.970304764,Hi_e44_55-59
High,e44,60-65,7.723959246,6.725751281,8.870317074,7.750076215,6.851243821,8.761022846,Hi_e44_60-65
