Condition,Genotype,Age,Frequ_Est,Frequ_Low,Frequ_Hig,Bayes_Est,Bayes_Low,Bayes_Hig,Trial
Low,e33,45-49,0.997480184,0.993927693,0.998956537,0.996831783,0.99358738,0.998533818,Lo_e33_45-49
Low,e33,50-54,0.995968215,0.992852901,0.997728716,0.995570202,0.992863387,0.997340398,Lo_e33_50-54
Low,e33,55-59,0.993554879,0.990365487,0.995693052,0.993809379,0.991009083,0.995817027,Lo_e33_55-59
Low,e33,60-65,0.989711896,0.982684345,0.993905009,0.991354716,0.985892033,0.99480599,Lo_e33_60-65
Low,e34,45-49,0.99656384,0.991270478,0.998651806,0.996849189,0.992713408,0.998716167,Lo_e34_45-49
Low,e34,50-54,0.996699083,0.994037743,0.998174676,0.996659794,0.994309401,0.998137137,Lo_e34_50-54
Low,e34,55-59,0.996829019,0.994572766,0.998149031,0.996459055,0.99438047,0.997862239,Lo_e34_55-59
Low,e34,60-65,0.996953857,0.993017515,0.998674068,0.996246297,0.992595152,0.998233471,Lo_e34_60-65
Low,e44,45-49,0.985147168,0.89383983,0.998089777,0.993439913,0.965734863,0.998696417,Lo_e44_45-49
Low,e44,50-54,0.988373752,0.960009372,0.996689346,0.99291277,0.980348151,0.997431252,Lo_e44_50-54
Low,e44,55-59,0.990905872,0.981588449,0.995529558,0.992343593,0.985799543,0.995932504,Lo_e44_55-59
Low,e44,60-65,0.992890481,0.980943792,0.997367668,0.991729087,0.981269881,0.996664054,Lo_e44_60-65
High,e33,45-49,0.984796003,0.975529812,0.990587198,0.984590989,0.975526111,0.990518182,Hi_e33_45-49
High,e33,50-54,0.98005697,0.972659449,0.98548282,0.980144065,0.973044238,0.985665705,Hi_e33_50-54
High,e33,55-59,0.973879974,0.96601236,0.979964131,0.974447098,0.966899783,0.980639219,Hi_e33_55-59
High,e33,60-65,0.965856418,0.950907854,0.976366274,0.967170334,0.95299958,0.977598846,Hi_e33_60-65
High,e34,45-49,0.983574573,0.972614637,0.990192447,0.983887069,0.973305801,0.990587837,Hi_e34_45-49
High,e34,50-54,0.980995472,0.973453785,0.986424472,0.981155179,0.973824655,0.986715559,Hi_e34_50-54
High,e34,55-59,0.978020455,0.970922087,0.9834156,0.977970477,0.971016918,0.983535195,Hi_e34_55-59
High,e34,60-65,0.974591783,0.962138797,0.983021119,0.974261692,0.961828824,0.983048025,Hi_e34_60-65
High,e44,45-49,0.974682025,0.901748214,0.993845459,0.978809258,0.92262475,0.994646239,Hi_e44_45-49
High,e44,50-54,0.966852491,0.922404006,0.986220381,0.970525082,0.933738928,0.987438703,Hi_e44_50-54
High,e44,55-59,0.95670923,0.931118958,0.973067352,0.959137543,0.935586184,0.974564187,Hi_e44_55-59
High,e44,60-65,0.943643016,0.90159814,0.968353644,0.943606108,0.901808289,0.968662173,Hi_e44_60-65
