Condition,Genotype,Age,Frequ_Est,Frequ_Low,Frequ_Hig,Bayes_Est,Bayes_Low,Bayes_Hig,Trial
Low,e33,45-49,3.986551549,3.549848445,4.476977961,3.995581062,3.600837415,4.430021247,Lo_e33_45-49
Low,e33,50-54,4.238667881,3.927774415,4.574169366,4.24928236,3.969019595,4.550752738,Lo_e33_50-54
Low,e33,55-59,4.506728481,4.20738106,4.82737392,4.519092541,4.248997248,4.811788523,Lo_e33_55-59
Low,e33,60-65,4.791741691,4.330909103,5.301609405,4.806034447,4.395534257,5.268426197,Lo_e33_60-65
Low,e34,45-49,3.579506441,3.159662022,4.055138262,3.595552637,3.220824788,4.016787324,Lo_e34_45-49
Low,e34,50-54,4.148559097,3.828782799,4.495042808,4.166318428,3.881715528,4.474603873,Lo_e34_50-54
Low,e34,55-59,4.808076999,4.481936803,5.157949663,4.827688813,4.538860474,5.145037609,Lo_e34_55-59
Low,e34,60-65,5.572441872,5.016077757,6.190515762,5.594046562,5.097882666,6.151491879,Lo_e34_60-65
Low,e44,45-49,2.962371467,1.998564574,4.390973815,3.018814807,2.121038408,4.286945643,Lo_e44_45-49
Low,e44,50-54,3.57951571,2.799131377,4.577467434,3.626131245,2.905190414,4.516539817,Lo_e44_50-54
Low,e44,55-59,4.325228237,3.76621127,4.96721983,4.355625848,3.845237245,4.928672152,Lo_e44_55-59
Low,e44,60-65,5.226293393,4.383530066,6.231083673,5.231878066,4.471771896,6.124978606,Lo_e44_60-65
High,e33,45-49,5.157352327,4.596310659,5.786876692,5.169413995,4.663675815,5.724290539,Hi_e33_45-49
High,e33,50-54,5.606934232,5.198559424,6.047389079,5.620742957,5.25221719,6.016703538,Hi_e33_50-54
High,e33,55-59,6.095707544,5.693630242,6.52617906,6.111476352,5.748765933,6.505944406,Hi_e33_55-59
High,e33,60-65,6.627088694,5.994150083,7.326861016,6.645054487,6.081030308,7.277350023,Hi_e33_60-65
High,e34,45-49,4.735790364,4.184207239,5.360085936,4.756997252,4.268009869,5.308761711,Hi_e34_45-49
High,e34,50-54,5.58200418,5.154750888,6.044670508,5.60587093,5.228178491,6.018458927,Hi_e34_50-54
High,e34,55-59,6.579423553,6.136221442,7.054636914,6.606223887,6.212079053,7.034267725,Hi_e34_55-59
High,e34,60-65,7.755066621,6.986179112,8.608576639,7.785087205,7.101023527,8.552667534,Hi_e34_60-65
High,e44,45-49,4.103275996,2.775457823,6.066341113,4.178446149,2.94262788,5.930080063,Hi_e44_45-49
High,e44,50-54,4.937324716,3.867291084,6.303423978,4.999446749,4.015012443,6.220882954,Hi_e44_50-54
High,e44,55-59,5.940905602,5.17787979,6.81637288,5.981761378,5.286882432,6.76524743,Hi_e44_55-59
High,e44,60-65,7.148478459,6.002202702,8.513665202,7.15708577,6.119949499,8.369920713,Hi_e44_60-65
