"","Condition","Genotype","Age","Frequ.Est","Frequ.Low","Frequ.Hig","Bayes.Est","Bayes.Low","Bayes.Hig","Trial"
"1","Low","e33","45-49",0.997519667121778,0.994001173870205,0.998976582269518,0.997055373513324,0.993914439820976,0.998664275975337,"Lo_e33_45-49"
"2","Low","e33","50-54",0.996026858418995,0.992940141705598,0.997767033445545,0.995745080212825,0.993080678750992,0.997474140284382,"Lo_e33_50-54"
"3","Low","e33","55-59",0.993641317766384,0.990471514062193,0.995761148228371,0.993855328773231,0.990985046399509,0.995860452540972,"Lo_e33_55-59"
"4","Low","e33","60-65",0.989838071787867,0.982829521623861,0.994003365345754,0.991133749102533,0.985325097309105,0.99473929874446,"Lo_e33_60-65"
"5","Low","e4p","45-49",0.996051463761879,0.99090332815391,0.998291107822493,0.996379372604826,0.992194795499109,0.998405764928672,"Lo_e4p_45-49"
"6","Low","e4p","50-54",0.995944382158481,0.993126668662573,0.997609757688321,0.99602900026373,0.993554699113001,0.997653604603266,"Lo_e4p_50-54"
"7","Low","e4p","55-59",0.995834408719952,0.993683692826532,0.99725482445742,0.995644870183385,0.993649439943777,0.997104274228051,"Lo_e4p_55-59"
"8","Low","e4p","60-65",0.995721466017138,0.992062078827173,0.997697788025042,0.995223759907595,0.991763201986082,0.997371711783294,"Lo_e4p_60-65"
"9","High","e33","45-49",0.985021799118746,0.975744363267968,0.990784262640283,0.984953429089487,0.975921163556263,0.990882297484826,"Hi_e33_45-49"
"10","High","e33","50-54",0.980327061933765,0.972921798456133,0.985736845900711,0.980505788890611,0.973395143808372,0.986040370153932,"Hi_e33_50-54"
"11","High","e33","55-59",0.974199358942541,0.966310283513242,0.980278762925249,0.974777130242175,0.967158992031222,0.98094858882204,"Hi_e33_55-59"
"12","High","e33","60-65",0.966228757404824,0.951192826898213,0.976745840557231,0.967420957193125,0.95294195253897,0.977864614702424,"Hi_e33_60-65"
"13","High","e4p","45-49",0.983630949967246,0.973355215526557,0.989984557306486,0.983834923536513,0.973838432822088,0.990294265562162,"Hi_e4p_45-49"
"14","High","e4p","50-54",0.979298103181064,0.971608602058827,0.984937273178293,0.979417058546542,0.971943822483844,0.985214235927446,"Hi_e4p_50-54"
"15","High","e4p","55-59",0.973848854344906,0.966730542133659,0.979476470633296,0.973823928810849,0.966873534191173,0.979654991960341,"Hi_e4p_55-59"
"16","High","e4p","60-65",0.967013544288678,0.954118695486163,0.976374061097983,0.966762521200016,0.953861779347417,0.976488660223308,"Hi_e4p_60-65"
"17","Low","ave","45-49",0.996870247026655,0.994218596036974,0.998307783689516,0.996734763623844,0.994235076069703,0.998225916633165,"Lo_all_45-49"
"18","Low","ave","50-54",0.995985831252106,0.994024946944583,0.997304940121719,0.995889480749601,0.9940415230128,0.997244930189734,"Lo_all_50-54"
"19","Low","ave","55-59",0.994852784827829,0.99306140987573,0.996183447851427,0.994826512393181,0.993074437115434,0.996192903144851,"Lo_all_55-59"
"20","Low","ave","60-65",0.993402041336023,0.99005260779567,0.995628650803059,0.993490460233983,0.990318356111191,0.995713388026377,"Lo_all_60-65"
"21","High","ave","45-49",0.984341564283826,0.97773171757828,0.989011474674629,0.98440404145719,0.977911053384846,0.989219139670173,"Hi_all_45-49"
"22","High","ave","50-54",0.979819004364696,0.974452979793728,0.984076340349912,0.979968667988317,0.974780543586624,0.984373797959038,"Hi_all_50-54"
"23","High","ave","55-59",0.974024682074235,0.96857378642502,0.978551053713439,0.974304832663958,0.969027089912787,0.978998344329168,"Hi_all_55-59"
"24","High","ave","60-65",0.966623377724154,0.956985221312386,0.974160260766819,0.967093329970031,0.957632339803672,0.974834405918152,"Hi_all_60-65"
