"","Condition","Genotype","Age","Frequ.Est","Frequ.Low","Frequ.Hig","Bayes.Est","Bayes.Low","Bayes.Hig","Trial"
"1","Low","e33","45-49",0.997480183631585,0.993927693197073,0.998956537344358,0.996831783228652,0.993587380001515,0.998533817698094,"Lo_e33_45-49"
"2","Low","e33","50-54",0.995968214652913,0.992852901224017,0.997728715986785,0.995570201650922,0.99286338705587,0.997340398438017,"Lo_e33_50-54"
"3","Low","e33","55-59",0.993554878761221,0.990365487190236,0.995693051514449,0.993809379030833,0.991009083474078,0.99581702729793,"Lo_e33_55-59"
"4","Low","e33","60-65",0.989711896398674,0.982684345014057,0.993905008986127,0.991354716168126,0.985892032785856,0.994805989607892,"Lo_e33_60-65"
"5","Low","e34","45-49",0.996563839774529,0.991270478340014,0.998651806029453,0.996849189234864,0.992713408111346,0.998716166796377,"Lo_e34_45-49"
"6","Low","e34","50-54",0.996699082632666,0.994037743164848,0.99817467614179,0.996659793984818,0.994309401042664,0.998137136678976,"Lo_e34_50-54"
"7","Low","e34","55-59",0.996829019442696,0.994572766482656,0.99814903052246,0.996459054624876,0.994380469874212,0.997862239023609,"Lo_e34_55-59"
"8","Low","e34","60-65",0.996953857071917,0.993017514941128,0.998674068448974,0.996246296687879,0.992595152369579,0.99823347128113,"Lo_e34_60-65"
"9","Low","e44","45-49",0.985147168471958,0.893839830202529,0.998089777354088,0.993439913229053,0.96573486332935,0.998696417253866,"Lo_e44_45-49"
"10","Low","e44","50-54",0.988373751737856,0.960009372050147,0.996689345628621,0.992912769684725,0.980348151469159,0.997431251577552,"Lo_e44_50-54"
"11","Low","e44","55-59",0.990905872495415,0.981588448972469,0.995529557681622,0.992343593357588,0.985799543487062,0.995932504254755,"Lo_e44_55-59"
"12","Low","e44","60-65",0.992890480801781,0.980943791706031,0.997367667864104,0.991729087177648,0.981269881447783,0.996664054025171,"Lo_e44_60-65"
"13","High","e33","45-49",0.984796003434842,0.975529812386195,0.990587197884449,0.984590989411054,0.975526110564271,0.990518181986666,"Hi_e33_45-49"
"14","High","e33","50-54",0.980056969749942,0.972659449041454,0.985482820103127,0.980144064935564,0.973044237638732,0.985665704901316,"Hi_e33_50-54"
"15","High","e33","55-59",0.973879974109297,0.966012359529013,0.979964131052402,0.974447098037359,0.966899782959555,0.980639218938872,"Hi_e33_55-59"
"16","High","e33","60-65",0.965856418176442,0.950907853628246,0.976366273765468,0.967170334184469,0.952999579883177,0.97759884592136,"Hi_e33_60-65"
"17","High","e34","45-49",0.983574572587251,0.972614636802454,0.990192446677451,0.983887068984947,0.973305800793274,0.990587837437287,"Hi_e34_45-49"
"18","High","e34","50-54",0.980995472492,0.973453785145897,0.986424472355291,0.981155178801987,0.973824655220594,0.986715559082681,"Hi_e34_50-54"
"19","High","e34","55-59",0.978020454957579,0.970922086633277,0.983415600267862,0.977970477136753,0.971016917988362,0.983535195345061,"Hi_e34_55-59"
"20","High","e34","60-65",0.974591782812848,0.962138796767752,0.983021119204796,0.974261691721539,0.961828824381311,0.983048025054885,"Hi_e34_60-65"
"21","High","e44","45-49",0.974682025404215,0.901748214170638,0.993845458551118,0.978809257549265,0.922624750332426,0.994646238913935,"Hi_e44_45-49"
"22","High","e44","50-54",0.966852491294468,0.922404005994993,0.986220381354101,0.970525081865438,0.933738927622224,0.987438702807329,"Hi_e44_50-54"
"23","High","e44","55-59",0.956709230366915,0.931118957989137,0.973067352431836,0.959137543267087,0.93558618380001,0.974564186899893,"Hi_e44_55-59"
"24","High","e44","60-65",0.943643016061343,0.901598139593843,0.968353643637433,0.943606108354149,0.901808288779409,0.9686621730884,"Hi_e44_60-65"
