"","Condition","Genotype","Age","Frequ.Est","Frequ.Low","Frequ.Hig","Bayes.Est","Bayes.Low","Bayes.Hig","Trial"
"1","Low","e33","45-49",0.997845777419047,0.994804201082291,0.999108436661242,0.997343329293021,0.994527152709725,0.998795380533151,"Lo_e33_45-49"
"2","Low","e33","50-54",0.996612952827104,0.993999512244088,0.998090327473485,0.996211138177955,0.993853565536412,0.997755981908867,"Lo_e33_50-54"
"3","Low","e33","55-59",0.994678366538123,0.992075973425191,0.996429163132938,0.994599055054311,0.992144913639047,0.996356240316017,"Lo_e33_55-59"
"4","Low","e33","60-65",0.991648058958169,0.986008589046063,0.995025914063417,0.992306360772782,0.987419249306421,0.995391373903937,"Lo_e33_60-65"
"5","Low","e34","45-49",0.996071424224486,0.991931834181117,0.998091173153423,0.99626105452351,0.992602939322877,0.998194418250654,"Lo_e34_45-49"
"6","Low","e34","50-54",0.995493959264016,0.992905094240103,0.997140891719307,0.995632914809597,0.993265327529896,0.997257035421394,"Lo_e34_50-54"
"7","Low","e34","55-59",0.994832052595159,0.992854676000439,0.996264274579382,0.994899788378586,0.993004385917794,0.996341352841906,"Lo_e34_55-59"
"8","Low","e34","60-65",0.994073495188346,0.990586818446216,0.996273552519013,0.994044324214957,0.990769858566702,0.996256216113346,"Lo_e34_60-65"
"9","Low","e44","45-49",0.992846079954624,0.968365415055588,0.998413238065391,0.994740207758715,0.980104535943246,0.998683099510493,"Lo_e44_45-49"
"10","Low","e44","50-54",0.994007501788133,0.984840728471181,0.997644408688566,0.994966893812519,0.988490463213875,0.997903702535597,"Lo_e44_50-54"
"11","Low","e44","55-59",0.994981322671287,0.990777377495081,0.997274256728959,0.995183857472166,0.99157561627013,0.997337400600134,"Lo_e44_55-59"
"12","Low","e44","60-65",0.995797560228472,0.989923942461698,0.998253322066275,0.995391511732398,0.989880511117522,0.998032029281808,"Lo_e44_60-65"
"13","High","e33","45-49",0.985269027429891,0.976470612371807,0.990808393779443,0.985200643081839,0.976625840677064,0.990881781386695,"Hi_e33_45-49"
"14","High","e33","50-54",0.981465935316625,0.97470972591607,0.98644235179017,0.981549395507756,0.975026806726974,0.986641684332564,"Hi_e33_50-54"
"15","High","e33","55-59",0.976704214498355,0.969912473412734,0.981991302911182,0.977018337816807,0.970422454937967,0.982463591516363,"Hi_e33_55-59"
"16","High","e33","60-65",0.970755577796056,0.958466520631508,0.979486332381086,0.971406967533084,0.959443996311285,0.980231432755174,"Hi_e33_60-65"
"17","High","e34","45-49",0.983374522129891,0.974413104669604,0.989232024444823,0.983637656500114,0.974943910518501,0.98959042448199,"Hi_e34_45-49"
"18","High","e34","50-54",0.978738879877448,0.971861423129109,0.983963128828236,0.979004846538291,0.97231548407746,0.98438913453863,"Hi_e34_50-54"
"19","High","e34","55-59",0.972846383223906,0.966753598408431,0.977848179985607,0.973096187051057,0.967199793924816,0.978294439476838,"Hi_e34_55-59"
"20","High","e34","60-65",0.965378555911341,0.954813844230621,0.973541640888278,0.965583113590948,0.955180036147623,0.974004094927551,"Hi_e34_60-65"
"21","High","e44","45-49",0.981241009199625,0.955045586562582,0.992295220294386,0.981912630635557,0.957055591389206,0.992761043610215,"Hi_e44_45-49"
"22","High","e44","50-54",0.975620539430779,0.95763090711398,0.986082900552364,0.976117913514985,0.958854026614515,0.986613612766656,"Hi_e44_50-54"
"23","High","e44","55-59",0.968370375970629,0.954650316600037,0.978035083127379,0.968526228118285,0.955109662756132,0.97842632398746,"Hi_e44_55-59"
"24","High","e44","60-65",0.959054588583028,0.934013794359549,0.974848658391761,0.958623577681007,0.933241123532187,0.974885333005699,"Hi_e44_60-65"
