"","Condition","Genotype","Age","Frequ.Est","Frequ.Low","Frequ.Hig","Bayes.Est","Bayes.Low","Bayes.Hig","Trial"
"1","Low","e33","45-49",3.98655154920307,3.54984844512149,4.4769779612125,3.99558106220969,3.60083741512518,4.4300212469598,"Lo_e33_45-49"
"2","Low","e33","50-54",4.23866788126787,3.92777441516881,4.57416936632285,4.24928236011655,3.96901959484407,4.55075273792859,"Lo_e33_50-54"
"3","Low","e33","55-59",4.50672848098086,4.20738106011535,4.82737392004308,4.51909254120148,4.24899724763088,4.81178852311996,"Lo_e33_55-59"
"4","Low","e33","60-65",4.79174169107317,4.33090910319352,5.30160940506416,4.80603444657481,4.39553425735144,5.2684261969103,"Lo_e33_60-65"
"5","Low","e34","45-49",3.57950644089416,3.15966202187368,4.05513826216285,3.59555263716896,3.22082478838456,4.01678732354156,"Lo_e34_45-49"
"6","Low","e34","50-54",4.14855909738264,3.82878279905089,4.49504280805444,4.16631842799698,3.88171552799999,4.47460387339887,"Lo_e34_50-54"
"7","Low","e34","55-59",4.8080769985085,4.4819368032521,5.15794966292528,4.82768881312625,4.53886047449549,5.14503760924159,"Lo_e34_55-59"
"8","Low","e34","60-65",5.57244187220851,5.01607775717636,6.190515761985,5.59404656153211,5.09788266646031,6.15149187886584,"Lo_e34_60-65"
"9","Low","e44","45-49",2.96237146745686,1.99856457382321,4.39097381497906,3.01881480709902,2.12103840822613,4.28694564334889,"Lo_e44_45-49"
"10","Low","e44","50-54",3.57951571039009,2.79913137684591,4.5774674339749,3.62613124459866,2.9051904137824,4.51653981719338,"Lo_e44_50-54"
"11","Low","e44","55-59",4.32522823747326,3.76621127006449,4.96721983042542,4.35562584764523,3.8452372448426,4.92867215153123,"Lo_e44_55-59"
"12","Low","e44","60-65",5.22629339268838,4.38353006643006,6.23108367286798,5.23187806644736,4.47177189601018,6.12497860648869,"Lo_e44_60-65"
"13","High","e33","45-49",5.15735232673597,4.59631065873365,5.78687669240728,5.16941399489331,4.66367581457493,5.72429053926108,"Hi_e33_45-49"
"14","High","e33","50-54",5.60693423219239,5.19855942368511,6.04738907877014,5.62074295654701,5.25221718952488,6.01670353835109,"Hi_e33_50-54"
"15","High","e33","55-59",6.09570754380232,5.69363024176096,6.5261790600712,6.11147635201634,5.74876593294834,6.50594440587578,"Hi_e33_55-59"
"16","High","e33","60-65",6.62708869425053,5.99415008255208,7.32686101559281,6.64505448656921,6.08103030750914,7.27735002294648,"Hi_e33_60-65"
"17","High","e34","45-49",4.73579036415327,4.1842072385238,5.36008593616398,4.7569972523232,4.26800986912136,5.30876171074347,"Hi_e34_45-49"
"18","High","e34","50-54",5.5820041800697,5.15475088781111,6.04467050774335,5.60587092963686,5.22817849128631,6.0184589270832,"Hi_e34_50-54"
"19","High","e34","55-59",6.57942355349309,6.13622144226399,7.05463691354137,6.60622388722214,6.21207905304266,7.03426772481146,"Hi_e34_55-59"
"20","High","e34","60-65",7.75506662120039,6.98617911198093,8.60857663899823,7.7850872051618,7.10102352736133,8.55266753410917,"Hi_e34_60-65"
"21","High","e44","45-49",4.10327599553506,2.77545782261812,6.06634111256348,4.17844614889661,2.94262787973452,5.9300800628718,"Hi_e44_45-49"
"22","High","e44","50-54",4.9373247158883,3.86729108399535,6.30342397835155,4.9994467488543,4.01501244315486,6.220882954081,"Hi_e44_50-54"
"23","High","e44","55-59",5.94090560241311,5.17787979029883,6.81637287966983,5.98176137826501,5.2868824324439,6.76524743028709,"Hi_e44_55-59"
"24","High","e44","60-65",7.14847845903396,6.00220270176176,8.51366520232204,7.15708577048104,6.11994949862247,8.36992071284097,"Hi_e44_60-65"
