"","Condition","Genotype","Age","Frequ.Est","Frequ.Low","Frequ.Hig","Bayes.Est","Bayes.Low","Bayes.Hig","Trial"
"1","Low","e33","45-49",4.00170438101954,3.57352300738903,4.48119066813318,4.01122114513642,3.62534778639156,4.44162393213534,"Lo_e33_45-49"
"2","Low","e33","50-54",4.2892705806666,3.98359265467589,4.61840446778031,4.30077103936011,4.02619075089273,4.59910371497833,"Lo_e33_50-54"
"3","Low","e33","55-59",4.5975015549461,4.30841541368295,4.90598480374095,4.61122208518115,4.34892873694362,4.88838387495877,"Lo_e33_55-59"
"4","Low","e33","60-65",4.9278822937878,4.48041774751766,5.42003564620324,4.94408303168494,4.53901592290741,5.38466018289899,"Lo_e33_60-65"
"5","Low","e34","45-49",3.55782025935934,3.19680512892788,3.95960482025157,3.57368433500812,3.25114050693503,3.93294338632785,"Lo_e34_45-49"
"6","Low","e34","50-54",4.05074472500201,3.78475501130049,4.33542799418697,4.06718398103183,3.82845884897605,4.32426128397215,"Lo_e34_50-54"
"7","Low","e34","55-59",4.61196227773639,4.38409370328031,4.8516745970435,4.62883231557841,4.42096847483893,4.8440103549825,"Lo_e34_55-59"
"8","Low","e34","60-65",5.25093470343356,4.88186003817175,5.64791187050267,5.26804017366022,4.93472562136638,5.62173614932801,"Lo_e34_60-65"
"9","Low","e44","45-49",3.16317343628536,2.52253972467188,3.96650490383172,3.18387325559635,2.60547565862441,3.89344095506522,"Lo_e44_45-49"
"10","Low","e44","50-54",3.82548326540443,3.315665942375,4.41369018116668,3.84628369754441,3.38786860104342,4.36752604821497,"Lo_e44_50-54"
"11","Low","e44","55-59",4.62646848447076,4.18932765880666,5.10922333630457,4.64650979934342,4.24853722528045,5.07303958218753,"Lo_e44_55-59"
"12","Low","e44","60-65",5.59516514720352,4.86768308694329,6.43137042106409,5.61322435190577,4.96055391679588,6.35326463621625,"Lo_e44_60-65"
"13","High","e33","45-49",5.16940880580037,4.6200804451379,5.78405240315869,5.18143541299888,4.68852128209481,5.73259767840747,"Hi_e33_45-49"
"14","High","e33","50-54",5.67346557916316,5.27194554616825,6.10556603744592,5.68820354794057,5.33008298203076,6.07826265326114,"Hi_e33_50-54"
"15","High","e33","55-59",6.22667173117207,5.83782378401685,6.64142020763426,6.24453592949006,5.89302038719887,6.61778615182035,"Hi_e33_55-59"
"16","High","e33","60-65",6.83381970099064,6.21750157900697,7.5112311773802,6.85528016816668,6.2975032151687,7.45759302898981,"Hi_e33_60-65"
"17","High","e34","45-49",4.72370605129476,4.24763042168438,5.25314037330735,4.74448831085656,4.3209799617431,5.21458379461942,"Hi_e34_45-49"
"18","High","e34","50-54",5.45262743715305,5.09704928393509,5.83301128009514,5.47454610565083,5.15585982143929,5.81599705772688,"Hi_e34_50-54"
"19","High","e34","55-59",6.29402965500891,5.98513855739994,6.6188625239348,6.31694149068013,6.03641629852657,6.60807649758763,"Hi_e34_55-59"
"20","High","e34","60-65",7.26526977218445,6.75796068378453,7.81066172658722,7.2889604044959,6.83056557479669,7.77404293062946,"Hi_e34_60-65"
"21","High","e44","45-49",4.31643147162241,3.44774858254136,5.40398471731919,4.34438867565199,3.56017185554247,5.31083307391265,"Hi_e44_45-49"
"22","High","e44","50-54",5.24038536121332,4.54662247473141,6.04000857485779,5.26891395680586,4.64413955279202,5.97903077895202,"Hi_e44_50-54"
"23","High","e44","55-59",6.36211623294854,5.76482904609417,7.02128764580994,6.39018659628958,5.84748204114171,6.97030476430156,"Hi_e44_55-59"
"24","High","e44","60-65",7.72395924565663,6.72575128135894,8.87031707430464,7.75007621497654,6.85124382075854,8.76102284639588,"Hi_e44_60-65"
