"","Condition","Genotype","Sex","Age","Frequ.Est","Frequ.Low","Frequ.Hig"
"1","Low","e33","Male","45-49",0.998509968991155,0.993520330960184,0.999658680202886
"2","Low","e33","Male","50-54",0.996782416037804,0.991572057632828,0.998775582072081
"3","Low","e33","Male","55-59",0.993065834860793,0.987471500776101,0.99617182262491
"4","Low","e33","Male","60-65",0.985120372503989,0.971656473582726,0.992239656182602
"5","Low","e33","Female","45-49",0.995773052468332,0.987369541316117,0.998593362297275
"6","Low","e33","Female","50-54",0.995485404603463,0.990928329789389,0.99775845077351
"7","Low","e33","Female","55-59",0.995178276807887,0.991003709940512,0.997420752579128
"8","Low","e33","Female","60-65",0.994850363201097,0.986676907472813,0.998019628461074
"9","Low","e4p","Male","45-49",0.994340440412764,0.98359609556473,0.998061249923895
"10","Low","e4p","Male","50-54",0.994109072625272,0.988357710867446,0.997027770831208
"11","Low","e4p","Male","55-59",0.993868304645431,0.989845117640579,0.996303527549329
"12","Low","e4p","Male","60-65",0.993617759418216,0.987001653833871,0.996876949639422
"13","Low","e4p","Female","45-49",0.996706574251827,0.98768295792828,0.999125233445265
"14","Low","e4p","Female","50-54",0.997323741304548,0.994033707026061,0.998801716212826
"15","Low","e4p","Female","55-59",0.997825507492174,0.995249367265838,0.999006071351095
"16","Low","e4p","Female","60-65",0.998233365221136,0.993611796137258,0.999513081985098
"17","High","e33","Male","45-49",0.986703118020825,0.973017038465779,0.993493871295321
"18","High","e33","Male","50-54",0.980851940496808,0.96948260472034,0.988037863019608
"19","High","e33","Male","55-59",0.972497768984255,0.960352764427519,0.980996055006664
"20","High","e33","Male","60-65",0.960644972025987,0.935824654175535,0.976110885950211
"21","High","e33","Female","45-49",0.983229696607863,0.968278763238055,0.991197975632697
"22","High","e33","Female","50-54",0.97978098908927,0.969378345597297,0.986698188460802
"23","High","e33","Female","55-59",0.975640646976278,0.964898845292959,0.98315259405927
"24","High","e33","Female","60-65",0.970677840952171,0.950044831470221,0.982941802610608
"25","High","e4p","Male","45-49",0.982216022544021,0.964617528717569,0.991141778429087
"26","High","e4p","Male","50-54",0.977661553493362,0.965181176315185,0.985734611112193
"27","High","e4p","Male","55-59",0.971973968229881,0.961357217255957,0.979735349021907
"28","High","e4p","Male","60-65",0.964890273166451,0.945940089279454,0.977356663032926
"29","High","e4p","Female","45-49",0.984573456906981,0.970026621558673,0.992117714759428
"30","High","e4p","Female","50-54",0.980506219600808,0.970278817805302,0.987260462884368
"31","High","e4p","Female","55-59",0.975393447367915,0.965623307044121,0.982437336389576
"32","High","e4p","Female","60-65",0.968982132805652,0.949557378801017,0.981075760376322
"33","Low","ave","Male","45-49",0.997094095335176,0.992767511276854,0.9988354874042
"34","Low","ave","Male","50-54",0.995645439940315,0.992106643601834,0.997601537641106
"35","Low","ave","Male","55-59",0.99347932182691,0.990319908642974,0.995612126490638
"36","Low","ave","Male","60-65",0.990246252697569,0.98415929140063,0.994008473793995
"37","Low","ave","Female","45-49",0.996268786974599,0.991166238089087,0.998428679056275
"38","Low","ave","Female","50-54",0.996523633641187,0.994051952708387,0.997970317228205
"39","Low","ave","Female","55-59",0.996761130539501,0.994632335810492,0.99804731106021
"40","Low","ave","Female","60-65",0.996982451358256,0.993266038535374,0.998650595804772
"41","High","ave","Male","45-49",0.98461982855612,0.974612978651716,0.990719818052721
"42","High","ave","Male","50-54",0.97931687718761,0.971223700598908,0.985168650965786
"43","High","ave","Male","55-59",0.972237068619401,0.96428730335601,0.978456725511312
"44","High","ave","Male","60-65",0.962825840813194,0.948196663961155,0.973439485310367
"45","High","ave","Female","45-49",0.983915374281076,0.97431872209754,0.989962865426004
"46","High","ave","Female","50-54",0.980146848569233,0.973079828267834,0.985386512515403
"47","High","ave","Female","55-59",0.975517351334762,0.968388202466055,0.981070150370414
"48","High","ave","Female","60-65",0.969841532120827,0.956528890076831,0.979166092987808
"49","Low","ave","Male","mean",0.994110578881687,0.991001535363176,0.99614959596255
"50","Low","ave","Female","mean",0.996702758221003,0.994708637899392,0.997946918845511
"51","High","ave","Male","mean",0.974219808828834,0.966669126021734,0.98009520243104
"52","High","ave","Female","mean",0.976776677027984,0.970149384651254,0.981959969406197
